FIPS,without_decimal,Percent_Below_Poverty
30021,1112,11.12
46135,1112,11.12
17023,1112,11.12
26115,1112,11.12
18045,1112,11.12
20167,1114,11.14
20083,1115,11.15
26003,1116,11.16
55137,1117,11.17
39171,1117,11.17
16011,1118,11.18
42089,1120,11.2
12021,1121,11.21
21211,1122,11.22
48021,1123,11.23
31129,1123,11.23
48093,1123,11.23
27069,1123,11.23
55065,1124,11.24
31095,1124,11.24
46065,1125,11.25
22089,1125,11.25
2100,1126,11.26
18145,1126,11.26
20183,1126,11.26
32031,1126,11.26
47105,1127,11.27
42057,1127,11.27
31087,1127,11.27
48335,1127,11.27
39169,1128,11.28
13157,1128,11.28
27017,1129,11.29
17039,1130,11.3
10005,1130,11.3
55081,1130,11.3
36115,1130,11.3
48325,1130,11.3
30031,1130,11.3
53013,1131,11.31
38053,1132,11.32
37125,1133,11.33
31113,1133,11.33
55139,1133,11.33
8113,1133,11.33
25005,1133,11.33
18133,1134,11.34
56041,1134,11.34
38003,1134,11.34
32510,1134,11.34
18033,1135,11.35
20029,1135,11.35
16071,1136,11.36
19065,1136,11.36
48257,1136,11.36
39091,1137,11.37
40007,1137,11.37
26091,1137,11.37
10003,1138,11.38
51115,1138,11.38
31125,1140,11.4
9015,1140,11.4
6009,1142,11.42
19061,1142,11.42
46101,1142,11.42
46019,1143,11.43
12061,1143,11.43
16077,1144,11.44
18107,1144,11.44
20177,1144,11.44
42127,1144,11.44
36093,1145,11.45
19145,1145,11.45
18031,1146,11.46
56037,1146,11.46
45045,1146,11.46
56015,1146,11.46
40153,1146,11.46
26101,1147,11.47
22103,1147,11.47
20067,1148,11.48
21117,1148,11.48
27043,1149,11.49
31041,1150,11.5
30017,1150,11.5
1051,1151,11.51
20181,1151,11.51
24029,1152,11.52
23007,1152,11.52
20169,1152,11.52
38063,1152,11.52
51171,1152,11.52
47147,1153,11.53
40051,1153,11.53
18169,1153,11.53
19043,1153,11.53
29186,1154,11.54
21209,1155,11.55
37119,1157,11.57
36021,1157,11.57
31127,1157,11.57
41065,1157,11.57
53017,1158,11.58
8069,1159,11.59
6073,1159,11.59
17013,1160,11.6
39057,1160,11.6
55053,1161,11.61
17009,1161,11.61
36117,1162,11.62
39143,1162,11.62
32019,1163,11.63
42003,1163,11.63
49015,1164,11.64
34021,1164,11.64
17033,1164,11.64
36085,1165,11.65
36071,1165,11.65
33019,1165,11.65
41009,1166,11.66
20151,1166,11.66
19009,1167,11.67
20085,1167,11.67
55047,1168,11.68
39043,1169,11.69
30077,1169,11.69
27117,1169,11.69
19197,1169,11.69
18101,1170,11.7
8013,1170,11.7
36083,1171,11.71
48265,1171,11.71
42025,1171,11.71
32007,1171,11.71
48173,1172,11.72
26081,1172,11.72
18125,1173,11.73
48023,1173,11.73
53007,1174,11.74
16055,1174,11.74
9009,1174,11.74
12081,1175,11.75
21091,1175,11.75
26043,1175,11.75
31145,1175,11.75
48311,1176,11.76
48393,1176,11.76
55033,1176,11.76
21221,1176,11.76
18171,1176,11.76
27119,1176,11.76
8121,1177,11.77
20017,1177,11.77
37019,1177,11.77
49053,1178,11.78
27173,1178,11.78
23001,1178,11.78
31079,1179,11.79
48051,1179,11.79
51109,1180,11.8
19117,1180,11.8
26067,1180,11.8
27057,1182,11.82
42119,1182,11.82
12009,1183,11.83
20191,1184,11.84
48401,1184,11.84
48149,1186,11.86
30059,1186,11.86
29177,1186,11.86
36001,1187,11.87
27153,1187,11.87
20041,1187,11.87
48433,1188,11.88
45015,1189,11.89
48135,1190,11.9
42009,1190,11.9
36123,1191,11.91
18137,1191,11.91
18175,1191,11.91
18123,1193,11.93
53005,1193,11.93
18027,1194,11.94
19171,1195,11.95
48009,1195,11.95
48439,1195,11.95
48453,1196,11.96
22125,1196,11.96
20193,1196,11.96
19137,1198,11.98
53057,1198,11.98
29013,1198,11.98
55031,1198,11.98
12069,1199,11.99
20101,1199,11.99
18153,1200,12
42011,1200,12
31121,1200,12
32027,1201,12.01
29135,1201,12.01
40027,1201,12.01
17045,1201,12.01
17185,1201,12.01
12003,1202,12.02
48147,1202,12.02
42115,1202,12.02
48477,1203,12.03
31055,1203,12.03
48313,1203,12.03
19127,1203,12.03
55097,1205,12.05
40073,1206,12.06
56019,1206,12.06
48199,1207,12.07
30109,1207,12.07
29005,1207,12.07
6051,1207,12.07
19163,1207,12.07
2122,1208,12.08
26027,1208,12.08
37109,1208,12.08
55019,1208,12.08
50007,1208,12.08
29053,1208,12.08
13297,1209,12.09
19101,1209,12.09
45035,1210,12.1
36095,1210,12.1
36011,1210,12.1
48071,1210,12.1
51570,1211,12.11
51053,1211,12.11
16063,1211,12.11
8061,1212,12.12
55107,1212,12.12
38093,1212,12.12
39129,1213,12.13
6063,1213,12.13
16003,1214,12.14
16059,1214,12.14
21163,1214,12.14
41071,1214,12.14
48015,1215,12.15
56005,1216,12.16
27001,1216,12.16
25015,1216,12.16
12099,1217,12.17
36099,1217,12.17
46055,1218,12.18
