State,FIPS,Value (Dollars),Rank within US
"Iron County, Utah",49021,51807,1569 of 3146
"Thayer County, Nebraska",31169,51821,1568 of 3146
"Nemaha County, Nebraska",31127,51828,1567 of 3146
"McLean County, Kentucky",21149,51861,1566 of 3146
"Page County, Iowa",19145,51867,1565 of 3146
"Preston County, West Virginia",54077,51888,1564 of 3146
"Marshall County, Kansas",20117,51895,1563 of 3146
"Buchanan County, Missouri",29021,51916,1562 of 3146
"Sherman County, Texas",48421,51926,1561 of 3146
"Waldo County, Maine",23027,51931,1560 of 3146
"Vermilion Parish, Louisiana",22113,51945,1559 of 3146
"Chester County, Tennessee",47023,51946,1558 of 3146
"Branch County, Michigan",26023,51947,1556 of 3146
"Richland County, Wisconsin",55103,51947,1556 of 3146
"Essex County, Virginia",51057,51954,1555 of 3146
"Traverse County, Minnesota",27155,51957,1554 of 3146
"Windham County, Vermont",50025,51985,1553 of 3146
"Chenango County, New York",36017,52002,1552 of 3146
"Yuma County, Colorado",8125,52022,1551 of 3146
"Fulton County, Indiana",18049,52034,1550 of 3146
"Nelson County, North Dakota",38063,52039,1549 of 3146
"Jack County, Texas",48237,52045,1548 of 3146
"Stanton County, Kansas",20187,52054,1547 of 3146
"Audubon County, Iowa",19009,52055,1546 of 3146
"Catawba County, North Carolina",37035,52056,1545 of 3146
"Hopkins County, Texas",48223,52078,1544 of 3146
"King County, Texas",48269,52083,1543 of 3146
"St. Joseph County, Michigan",26149,52086,1542 of 3146
"Cottonwood County, Minnesota",27033,52087,1541 of 3146
"Ford County, Illinois",17053,52092,1540 of 3146
"Marion County, Kansas",20115,52123,1539 of 3146
"Lane County, Kansas",20101,52125,1538 of 3146
"Greene County, Georgia",13133,52129,1537 of 3146
"Canyon County, Idaho",16027,52134,1536 of 3146
"Bosque County, Texas",48035,52148,1534 of 3146
"Sierra County, California",6091,52148,1534 of 3146
"Morgan County, Alabama",1103,52156,1533 of 3146
"Comanche County, Oklahoma",40031,52161,1532 of 3146
"Upshur County, Texas",48459,52162,1531 of 3146
"Gallatin County, Kentucky",21077,52167,1530 of 3146
"Union County, Oregon",41061,52171,1528 of 3146
"Upton County, Texas",48461,52171,1528 of 3146
"Portsmouth City, Virginia",51740,52175,1527 of 3146
"Florence County, Wisconsin",55037,52181,1526 of 3146
"Custer County, Nebraska",31041,52184,1525 of 3146
"Clallam County, Washington",53009,52192,1524 of 3146
"Saline County, Kansas",20169,52200,1523 of 3146
"Cass County, Minnesota",27021,52204,1522 of 3146
"Buncombe County, North Carolina",37021,52207,1521 of 3146
"Allamakee County, Iowa",19005,52216,1520 of 3146
"Harrison County, Texas",48203,52220,1519 of 3146
"Archuleta County, Colorado",8007,52221,1518 of 3146
"Broome County, New York",36007,52226,1517 of 3146
"Warren County, Kentucky",21227,52270,1516 of 3146
"Bailey County, Texas",48017,52273,1515 of 3146
"Osceola County, Florida",12097,52279,1514 of 3146
"Schuylkill County, Pennsylvania",42107,52280,1513 of 3146
"Texas County, Oklahoma",40139,52282,1512 of 3146
"Marquette County, Wisconsin",55077,52288,1511 of 3146
"Towner County, North Dakota",38095,52300,1510 of 3146
"Beadle County, South Dakota",46005,52313,1509 of 3146
"St. Lucie County, Florida",12111,52322,1508 of 3146
"Calhoun County, Iowa",19025,52323,1507 of 3146
"Pratt County, Kansas",20151,52327,1505 of 3146
"Schuyler County, New York",36097,52327,1505 of 3146
"Knox County, Nebraska",31107,52332,1503 of 3146
"Spartanburg County, South Carolina",45083,52332,1503 of 3146
"Perry County, Indiana",18123,52348,1502 of 3146
"Beaver County, Oklahoma",40007,52349,1501 of 3146
"Schuyler County, Illinois",17169,52357,1500 of 3146
"Bradford County, Pennsylvania",42015,52358,1499 of 3146
"Hocking County, Ohio",39073,52363,1498 of 3146
"Cass County, Illinois",17017,52373,1496 of 3146
"Howard County, Indiana",18067,52373,1496 of 3146
"Pecos County, Texas",48371,52397,1494 of 3146
"Carroll County, Illinois",17015,52410,1493 of 3146
"Lane County, Oregon",41039,52426,1492 of 3146
"Dewey County, Oklahoma",40043,52428,1490 of 3146
"Perry County, Illinois",17145,52428,1490 of 3146
"Lubbock County, Texas",48303,52429,1489 of 3146
"Pocahontas County, Iowa",19151,52448,1488 of 3146
"Yavapai County, Arizona",4025,52451,1487 of 3146
"Monongalia County, West Virginia",54061,52455,1486 of 3146
"Vernon County, Wisconsin",55123,52459,1485 of 3146
"Murray County, Oklahoma",40099,52478,1484 of 3146
"White County, Georgia",13311,52493,1483 of 3146
"Madison County, Georgia",13195,52500,1481 of 3146
"Seneca County, Ohio",39147,52500,1481 of 3146
"Adams County, Indiana",18001,52504,1480 of 3146
"Hutchinson County, Texas",48233,52524,1479 of 3146
"Lyon County, Kentucky",21143,52528,1478 of 3146
"Butte County, California",6007,52537,1477 of 3146
"Colorado County, Texas",48089,52559,1476 of 3146
"Huron County, Ohio",39077,52560,1475 of 3146
"Hancock County, Illinois",17067,52561,1474 of 3146
"McIntosh County, North Dakota",38051,52587,1473 of 3146
"Kearny County, Kansas",20093,52599,1472 of 3146
"Staunton City, Virginia",51790,52611,1471 of 3146
"Garrett County, Maryland",24023,52617,1470 of 3146
"Parke County, Indiana",18121,52618,1469 of 3146
"Orleans County, New York",36073,52620,1468 of 3146
"Stanly County, North Carolina",37167,52623,1467 of 3146
"Gilmer County, Georgia",13123,52625,1466 of 3146
"Garrard County, Kentucky",21079,52631,1465 of 3146
"Lawrence County, South Dakota",46081,52641,1464 of 3146
"Marshall County, Indiana",18099,52658,1463 of 3146
"Madison County, Texas",48313,52664,1462 of 3146
"Burnett County, Wisconsin",55013,52672,1461 of 3146
"Jefferson County, New York",36045,52685,1460 of 3146
"Craven County, North Carolina",37049,52687,1459 of 3146
"Howard County, Missouri",29089,52700,1457 of 3146
"Iroquois County, Illinois",17075,52700,1457 of 3146
"Barron County, Wisconsin",55005,52703,1456 of 3146
"Logan County, Nebraska",31113,52708,1455 of 3146
"Jefferson County, Indiana",18077,52718,1454 of 3146
"Martin County, Indiana",18101,52726,1453 of 3146
"Cooper County, Missouri",29053,52735,1452 of 3146
"Erath County, Texas",48143,52742,1451 of 3146
"Montgomery County, Illinois",17135,52748,1450 of 3146
"St. Joseph County, Indiana",18141,52769,1449 of 3146
"Johnson County, Illinois",17087,52774,1448 of 3146
"Champaign County, Illinois",17019,52797,1447 of 3146
"Martin County, Minnesota",27091,52798,1446 of 3146
"Big Horn County, Wyoming",56003,52804,1445 of 3146
"Waushara County, Wisconsin",55137,52810,1444 of 3146
"Clinton County, Ohio",39027,52815,1443 of 3146
"Lackawanna County, Pennsylvania",42069,52821,1442 of 3146
"Ashland County, Ohio",39005,52823,1441 of 3146
"Faulkner County, Arkansas",5045,52827,1440 of 3146
"Pasco County, Florida",12101,52828,1439 of 3146
"Christian County, Illinois",17021,52834,1438 of 3146
"Gaston County, North Carolina",37071,52835,1437 of 3146
"Ingham County, Michigan",26065,52872,1436 of 3146
"Fountain County, Indiana",18045,52874,1435 of 3146
"Keokuk County, Iowa",19107,52881,1434 of 3146
"Ellis County, Kansas",20051,52883,1433 of 3146
"Amherst County, Virginia",51009,52888,1432 of 3146
"Coryell County, Texas",48099,52893,1431 of 3146
"Miner County, South Dakota",46097,52910,1430 of 3146
"Grimes County, Texas",48185,52913,1429 of 3146
"Dorchester County, Maryland",24019,52917,1427 of 3146
"Pipestone County, Minnesota",27117,52917,1427 of 3146
"Twin Falls County, Idaho",16083,52919,1426 of 3146
"Jerome County, Idaho",16053,52921,1425 of 3146
"Robertson County, Texas",48395,52928,1424 of 3146
"Palo Alto County, Iowa",19147,52932,1423 of 3146
"Cassia County, Idaho",16031,52935,1422 of 3146
"Shelby County, Illinois",17173,52953,1421 of 3146
"Custer County, Montana",30017,52965,1420 of 3146
"Glynn County, Georgia",13127,52977,1419 of 3146
"Panola County, Texas",48365,52982,1418 of 3146
"Adams County, Illinois",17001,52993,1417 of 3146
"Garfield County, Nebraska",31071,53000,1416 of 3146
"Rice County, Kansas",20159,53012,1415 of 3146
"Taylor County, Wisconsin",55119,53020,1414 of 3146
"Harrison County, West Virginia",54033,53022,1413 of 3146
"Adams County, Nebraska",31001,53023,1412 of 3146
"Greene County, Iowa",19073,53050,1411 of 3146
"Ravalli County, Montana",30081,53054,1410 of 3146
"Trimble County, Kentucky",21223,53056,1409 of 3146
"Park County, Montana",30067,53068,1408 of 3146
"Lac qui Parle County, Minnesota",27073,53071,1407 of 3146
"Dickson County, Tennessee",47043,53076,1406 of 3146
"Lincoln County, Minnesota",27081,53077,1405 of 3146
"Jeff Davis County, Texas",48243,53088,1404 of 3146
"Wasco County, Oregon",41065,53105,1403 of 3146
"Leon County, Florida",12073,53106,1402 of 3146
"Gage County, Nebraska",31067,53110,1401 of 3146
"Custer County, Colorado",8027,53119,1400 of 3146
"Tippecanoe County, Indiana",18157,53130,1399 of 3146
"Allen County, Ohio",39003,53131,1398 of 3146
"Geary County, Kansas",20061,53133,1397 of 3146
"Taylor County, Texas",48441,53143,1396 of 3146
"Clayton County, Iowa",19043,53152,1395 of 3146
"Faribault County, Minnesota",27043,53156,1394 of 3146
"Valley County, Montana",30105,53162,1393 of 3146
"Williams County, Ohio",39171,53183,1392 of 3146
"Madison County, Nebraska",31119,53188,1391 of 3146
"Marshall County, Tennessee",47117,53197,1390 of 3146
"Rawlins County, Kansas",20153,53207,1389 of 3146
"Beauregard Parish, Louisiana",22011,53209,1388 of 3146
"Newport News City, Virginia",51700,53215,1387 of 3146
"Wahkiakum County, Washington",53069,53227,1386 of 3146
"Schleicher County, Texas",48413,53229,1385 of 3146
"Tuscarawas County, Ohio",39157,53243,1384 of 3146
"Ellis County, Oklahoma",40045,53245,1383 of 3146
"Guilford County, North Carolina",37081,53261,1382 of 3146
"Kiowa County, Kansas",20097,53274,1380 of 3146
"Washita County, Oklahoma",40149,53274,1380 of 3146
"Jefferson County, Oregon",41031,53277,1379 of 3146
"Jackson County, Colorado",8057,53300,1378 of 3146
"Hill County, Texas",48217,53307,1377 of 3146
"Reeves County, Texas",48389,53311,1376 of 3146
"Logan County, Colorado",8075,53318,1375 of 3146
"Tuscaloosa County, Alabama",1125,53326,1374 of 3146
"Bernalillo County, New Mexico",35001,53329,1373 of 3146
"Wright County, Iowa",19197,53333,1372 of 3146
"Clark County, Kansas",20025,53348,1371 of 3146
"Kern County, California",6029,53350,1370 of 3146
"Adair County, Iowa",19001,53363,1369 of 3146
"Roane County, Tennessee",47145,53367,1368 of 3146
"Minidoka County, Idaho",16067,53370,1367 of 3146
"Pima County, Arizona",4019,53379,1366 of 3146
"Wood County, Texas",48499,53394,1365 of 3146
"Kimball County, Nebraska",31105,53403,1364 of 3146
"Llano County, Texas",48299,53411,1363 of 3146
"Jackson County, Oregon",41029,53412,1362 of 3146
"Grant County, Kansas",20067,53413,1361 of 3146
"Pine County, Minnesota",27115,53422,1360 of 3146
"Cameron Parish, Louisiana",22023,53423,1358 of 3146
"Columbia County, Washington",53013,53423,1358 of 3146
"Elk County, Pennsylvania",42047,53440,1357 of 3146
"Luzerne County, Pennsylvania",42079,53473,1356 of 3146
"Fulton County, Pennsylvania",42057,53476,1355 of 3146
"Camden County, Missouri",29029,53478,1354 of 3146
"Lewis County, Washington",53041,53484,1353 of 3146
"Juneau County, Wisconsin",55057,53490,1352 of 3146
"Pulaski County, Missouri",29169,53492,1351 of 3146
"Henry County, Iowa",19087,53501,1350 of 3146
"Androscoggin County, Maine",23001,53509,1349 of 3146
"Comanche County, Texas",48093,53516,1348 of 3146
"Black Hawk County, Iowa",19013,53539,1347 of 3146
"Bethel Census Area, Alaska",2050,53553,1346 of 3146
"Harnett County, North Carolina",37085,53554,1345 of 3146
"Griggs County, North Dakota",38039,53565,1344 of 3146
"Gonzales County, Texas",48177,53577,1343 of 3146
"Worth County, Missouri",29227,53580,1342 of 3146
"Todd County, Minnesota",27153,53585,1341 of 3146
"Greene County, New York",36039,53601,1340 of 3146
"Lawrence County, Indiana",18093,53610,1339 of 3146
"Daviess County, Indiana",18027,53629,1338 of 3146
"Freeborn County, Minnesota",27047,53631,1337 of 3146
"Huntington County, Indiana",18069,53632,1336 of 3146
"Edgar County, Illinois",17045,53647,1335 of 3146
"Jackson County, Wisconsin",55053,53650,1334 of 3146
"Jackson County, Michigan",26075,53658,1332 of 3146
"LaPorte County, Indiana",18091,53658,1332 of 3146
"Steuben County, New York",36101,53663,1331 of 3146
"Merced County, California",6047,53672,1330 of 3146
"Henderson County, Illinois",17071,53676,1329 of 3146
"Morgan County, Colorado",8087,53682,1328 of 3146
"O'Brien County, Iowa",19141,53703,1327 of 3146
"Lancaster County, Virginia",51103,53711,1326 of 3146
"Asotin County, Washington",53003,53715,1325 of 3146
"Dawson County, Nebraska",31047,53721,1324 of 3146
"Cape Girardeau County, Missouri",29031,53732,1323 of 3146
"Carroll County, Georgia",13045,53737,1322 of 3146
"Washington County, Kentucky",21229,53743,1321 of 3146
"Franklin County, Texas",48159,53783,1320 of 3146
"Randolph County, Illinois",17157,53816,1319 of 3146
"Sanpete County, Utah",49039,53838,1318 of 3146
"Oneida County, Idaho",16071,53841,1317 of 3146
"Live Oak County, Texas",48297,53848,1316 of 3146
"Poweshiek County, Iowa",19157,53852,1315 of 3146
"Westmoreland County, Virginia",51193,53853,1314 of 3146
"Stark County, Ohio",39151,53860,1313 of 3146
"Lyman County, South Dakota",46085,53862,1312 of 3146
"Pulaski County, Virginia",51155,53866,1311 of 3146
"Cheyenne County, Nebraska",31033,53871,1310 of 3146
"Juniata County, Pennsylvania",42067,53879,1309 of 3146
"Prince of Wales-Outer Ketchikan, Alaska",2201,53888,1308 of 3146
"Big Stone County, Minnesota",27011,53900,1306 of 3146
"Jefferson County, Alabama",1073,53901,1305 of 3146
"Tom Green County, Texas",48451,53903,1304 of 3146
"Henry County, Kentucky",21103,53926,1303 of 3146
"Clay County, Kansas",20027,53929,1302 of 3146
"Wibaux County, Montana",30109,53958,1301 of 3146
"Cerro Gordo County, Iowa",19033,53963,1300 of 3146
"Fresno County, California",6019,53969,1299 of 3146
"Marquette County, Michigan",26103,53970,1298 of 3146
"Cheyenne County, Colorado",8017,53977,1297 of 3146
"Douglas County, Wisconsin",55031,53986,1296 of 3146
"Box Butte County, Nebraska",31013,54004,1295 of 3146
"Garfield County, Oklahoma",40047,54006,1294 of 3146
"Clark County, Wisconsin",55019,54012,1293 of 3146
"Otsego County, New York",36077,54028,1292 of 3146
"Jefferson Parish, Louisiana",22051,54032,1291 of 3146
"Hamilton County, Illinois",17065,54046,1290 of 3146
"Grand Forks County, North Dakota",38035,54051,1289 of 3146
"Missoula County, Montana",30063,54062,1288 of 3146
"Watonwan County, Minnesota",27165,54065,1287 of 3146
"Dodge County, Nebraska",31053,54085,1286 of 3146
"Sandusky County, Ohio",39143,54089,1285 of 3146
"Osage County, Kansas",20139,54090,1283 of 3146
"Pinellas County, Florida",12103,54090,1283 of 3146
"Madison County, Montana",30057,54107,1282 of 3146
"Greeley County, Kansas",20071,54112,1281 of 3146
"Cumberland County, New Jersey",34011,54149,1280 of 3146
"Caldwell County, Texas",48055,54152,1279 of 3146
"Hand County, South Dakota",46059,54155,1278 of 3146
"Washakie County, Wyoming",56043,54158,1277 of 3146
"Bear Lake County, Idaho",16007,54167,1276 of 3146
"Jennings County, Indiana",18079,54191,1275 of 3146
"Hardin County, Iowa",19083,54196,1274 of 3146
"Burt County, Nebraska",31021,54203,1273 of 3146
"Howard County, Texas",48227,54208,1272 of 3146
"Erie County, Ohio",39043,54226,1271 of 3146
"Whiteside County, Illinois",17195,54232,1270 of 3146
"Lycoming County, Pennsylvania",42081,54241,1269 of 3146
"Van Wert County, Ohio",39161,54254,1268 of 3146
"Jasper County, Illinois",17079,54256,1267 of 3146
"Wabash County, Indiana",18169,54259,1266 of 3146
"Bossier Parish, Louisiana",22015,54268,1265 of 3146
"Morrow County, Oregon",41049,54269,1264 of 3146
"Woods County, Oklahoma",40151,54282,1263 of 3146
"Clinton County, Indiana",18023,54286,1262 of 3146
"Goshen County, Wyoming",56015,54289,1261 of 3146
"Mower County, Minnesota",27099,54295,1260 of 3146
"Sutton County, Texas",48435,54306,1259 of 3146
"Bay County, Florida",12005,54316,1258 of 3146
"Scurry County, Texas",48415,54326,1257 of 3146
"Major County, Oklahoma",40093,54332,1255 of 3146
"Otsego County, Michigan",26137,54332,1255 of 3146
"Rush County, Indiana",18139,54346,1254 of 3146
"Rio Blanco County, Colorado",8103,54357,1253 of 3146
"Hardin County, Kentucky",21093,54367,1252 of 3146
"Pendleton County, Kentucky",21191,54375,1251 of 3146
"Lavaca County, Texas",48285,54403,1250 of 3146
"Spink County, South Dakota",46115,54423,1249 of 3146
"Clarke County, Iowa",19039,54427,1247 of 3146
"Powder River County, Montana",30075,54427,1247 of 3146
"Campbell County, South Dakota",46021,54449,1246 of 3146
"Van Buren County, Michigan",26159,54485,1245 of 3146
"Winnebago County, Illinois",17201,54489,1244 of 3146
"Cowlitz County, Washington",53015,54506,1243 of 3146
"Lake County, Florida",12069,54513,1242 of 3146
"Flagler County, Florida",12035,54514,1241 of 3146
"Giles County, Virginia",51071,54520,1239 of 3146
"Oklahoma County, Oklahoma",40109,54520,1239 of 3146
"Lewis County, New York",36049,54524,1238 of 3146
"Seneca County, New York",36099,54545,1237 of 3146
"Colonial Heights City, Virginia",51570,54550,1236 of 3146
"Garfield County, Utah",49017,54565,1235 of 3146
"Brown County, Ohio",39015,54575,1233 of 3146
"Humboldt County, Iowa",19091,54575,1233 of 3146
"White County, Indiana",18181,54576,1232 of 3146
"Pepin County, Wisconsin",55091,54583,1230 of 3146
"Potter County, South Dakota",46107,54583,1230 of 3146
"Rockbridge County, Virginia",51163,54600,1229 of 3146
"Long County, Georgia",13183,54605,1228 of 3146
"San Juan County, Colorado",8111,54625,1227 of 3146
"Lincoln County, Washington",53043,54631,1226 of 3146
"Kidder County, North Dakota",38043,54643,1225 of 3146
"Herkimer County, New York",36043,54646,1224 of 3146
"Fannin County, Texas",48147,54648,1223 of 3146
"Van Zandt County, Texas",48467,54654,1222 of 3146
"Frontier County, Nebraska",31063,54659,1221 of 3146
"Powell County, Montana",30077,54667,1219 of 3146
"Shasta County, California",6089,54667,1219 of 3146
"Umatilla County, Oregon",41059,54699,1218 of 3146
"Johnson County, Nebraska",31097,54712,1217 of 3146
"Bon Homme County, South Dakota",46009,54737,1216 of 3146
"Indian River County, Florida",12061,54740,1215 of 3146
"Lee County, Texas",48287,54744,1214 of 3146
"Monroe County, Georgia",13207,54754,1212 of 3146
"Sherman County, Kansas",20181,54754,1212 of 3146
"Richland County, South Carolina",45079,54767,1211 of 3146
"Greene County, Pennsylvania",42059,54776,1210 of 3146
"Ottawa County, Kansas",20143,54784,1209 of 3146
"Sevier County, Utah",49041,54799,1208 of 3146
"Grant County, Wisconsin",55043,54800,1207 of 3146
"Carroll County, Indiana",18015,54806,1206 of 3146
"Grayson County, Texas",48181,54815,1205 of 3146
"Comanche County, Kansas",20033,54821,1204 of 3146
"Mahaska County, Iowa",19123,54825,1203 of 3146
"Allen County, Indiana",18003,54857,1202 of 3146
"Rock Island County, Illinois",17161,54858,1201 of 3146
"Eddy County, North Dakota",38027,54868,1200 of 3146
"Moore County, Texas",48341,54871,1199 of 3146
"Bell County, Texas",48027,54884,1198 of 3146
"Gasconade County, Missouri",29073,54885,1197 of 3146
"Clatsop County, Oregon",41007,54886,1196 of 3146
"New Hanover County, North Carolina",37129,54891,1195 of 3146
"Ellsworth County, Kansas",20053,54902,1194 of 3146
"Stark County, Illinois",17175,54907,1193 of 3146
"Wood County, Wisconsin",55141,54913,1192 of 3146
"Chemung County, New York",36015,54940,1191 of 3146
"East Baton Rouge Parish, Louisiana",22033,54948,1190 of 3146
"Clark County, Kentucky",21049,54953,1189 of 3146
"Hunt County, Texas",48231,54959,1188 of 3146
"Susquehanna County, Pennsylvania",42115,54966,1187 of 3146
"Washington County, Texas",48477,54971,1186 of 3146
"Boone County, Nebraska",31011,54979,1185 of 3146
"Washington County, Oklahoma",40147,54997,1184 of 3146
"Sumner County, Kansas",20191,55000,1182 of 3146
"Teton County, Montana",30099,55000,1182 of 3146
"Howard County, Iowa",19089,55060,1181 of 3146
"Haskell County, Kansas",20081,55064,1180 of 3146
"Hamilton County, Tennessee",47065,55070,1179 of 3146
"Green Lake County, Wisconsin",55047,55075,1178 of 3146
"Norman County, Minnesota",27107,55085,1177 of 3146
"Mercer County, Kentucky",21167,55093,1176 of 3146
"Faulk County, South Dakota",46049,55096,1175 of 3146
"Cass County, Michigan",26027,55107,1174 of 3146
"Marshall County, Kentucky",21157,55113,1173 of 3146
"Jefferson County, Washington",53031,55127,1172 of 3146
"Jackson County, Missouri",29095,55134,1171 of 3146
"Itasca County, Minnesota",27061,55139,1170 of 3146
"Macoupin County, Illinois",17117,55159,1169 of 3146
"Livingston County, Illinois",17105,55160,1168 of 3146
"St. Clair County, Illinois",17163,55179,1167 of 3146
"Franklin County, North Carolina",37069,55193,1166 of 3146
"Lucas County, Iowa",19117,55205,1165 of 3146
"Beaver County, Utah",49001,55221,1164 of 3146
"Rusk County, Texas",48401,55234,1163 of 3146
"Carroll County, Ohio",39019,55267,1162 of 3146
"Chippewa County, Minnesota",27023,55269,1161 of 3146
"Ringgold County, Iowa",19159,55271,1160 of 3146
"Johnson County, Missouri",29101,55273,1159 of 3146
"Nobles County, Minnesota",27105,55304,1158 of 3146
"Valley County, Nebraska",31175,55324,1157 of 3146
"Boone County, Missouri",29019,55328,1156 of 3146
"Cannon County, Tennessee",47015,55330,1154 of 3146
"Paulding County, Ohio",39125,55330,1154 of 3146
"Anderson County, Kentucky",21005,55334,1153 of 3146
"Newton County, Indiana",18111,55356,1152 of 3146
"DeWitt County, Texas",48123,55357,1151 of 3146
"Parmer County, Texas",48369,55359,1149 of 3146
"Plumas County, California",6063,55359,1149 of 3146
"Kennebec County, Maine",23011,55365,1148 of 3146
"Atascosa County, Texas",48013,55366,1147 of 3146
"Ralls County, Missouri",29173,55377,1146 of 3146
"Mesa County, Colorado",8077,55379,1145 of 3146
"Grant County, Arkansas",5053,55388,1144 of 3146
"Redwood County, Minnesota",27127,55404,1143 of 3146
"Hampden County, Massachusetts",25013,55429,1142 of 3146
"Lenawee County, Michigan",26091,55450,1141 of 3146
"Gibson County, Indiana",18051,55462,1140 of 3146
"Grant County, Minnesota",27051,55466,1139 of 3146
"Bingham County, Idaho",16011,55472,1138 of 3146
"LaFourche Parish, Louisiana",22057,55506,1137 of 3146
"Tulsa County, Oklahoma",40143,55517,1136 of 3146
"Sheridan County, Montana",30091,55521,1135 of 3146
"Montgomery County, Indiana",18107,55522,1133 of 3146
"Niagara County, New York",36063,55522,1133 of 3146
"Emery County, Utah",49015,55554,1132 of 3146
"Grant County, Washington",53025,55556,1131 of 3146
"Walworth County, South Dakota",46129,55583,1130 of 3146
"De Witt County, Illinois",17039,55587,1129 of 3146
"Darke County, Ohio",39037,55620,1128 of 3146
"Clark County, Indiana",18019,55630,1127 of 3146
"Clay County, Indiana",18021,55637,1125 of 3146
"Coffee County, Alabama",1031,55637,1125 of 3146
"St. Louis County, Minnesota",27137,55646,1124 of 3146
"Merrick County, Nebraska",31121,55649,1123 of 3146
"Morris County, Kansas",20127,55658,1122 of 3146
"Pierce County, North Dakota",38069,55660,1121 of 3146
"Walsh County, North Dakota",38099,55700,1120 of 3146
"Craig County, Virginia",51045,55708,1119 of 3146
"Carson City, Nevada",32510,55718,1118 of 3146
"Crawford County, Iowa",19047,55755,1117 of 3146
"Charlevoix County, Michigan",26029,55760,1116 of 3146
"Wyandot County, Ohio",39175,55767,1115 of 3146
"Chaffee County, Colorado",8015,55771,1114 of 3146
"Klickitat County, Washington",53039,55773,1113 of 3146
"Duval County, Florida",12031,55807,1112 of 3146
"Emmet County, Michigan",26047,55829,1111 of 3146
"Peoria County, Illinois",17143,55842,1110 of 3146
"Granville County, North Carolina",37077,55856,1109 of 3146
"Perry County, Missouri",29157,55863,1108 of 3146
"Linn County, Oregon",41043,55893,1107 of 3146
"Fremont County, Wyoming",56013,55896,1106 of 3146
"Garfield County, Washington",53023,55900,1105 of 3146
"Emmons County, North Dakota",38029,55902,1104 of 3146
"DeKalb County, Missouri",29063,55918,1103 of 3146
"Nueces County, Texas",48355,55919,1102 of 3146
"Henderson County, North Carolina",37089,55945,1101 of 3146
"Jackson County, Iowa",19097,55967,1099 of 3146
"Oswego County, New York",36075,55967,1099 of 3146
"Clay County, Texas",48077,55989,1098 of 3146
"Kerr County, Texas",48265,55990,1097 of 3146
"Kittitas County, Washington",53037,56004,1096 of 3146
"Jones County, Georgia",13169,56020,1095 of 3146
"Cortland County, New York",36023,56023,1094 of 3146
"Oneida County, New York",36065,56027,1093 of 3146
"Shiawassee County, Michigan",26155,56032,1092 of 3146
"Tama County, Iowa",19171,56037,1091 of 3146
"Kossuth County, Iowa",19109,56073,1090 of 3146
"Bayfield County, Wisconsin",55007,56096,1088 of 3146
"Wayne County, Pennsylvania",42127,56096,1088 of 3146
"Noble County, Oklahoma",40103,56117,1087 of 3146
"Karnes County, Texas",48255,56127,1086 of 3146
"Lake County, Indiana",18089,56128,1085 of 3146
"Mille Lacs County, Minnesota",27095,56135,1084 of 3146
"Rutland County, Vermont",50021,56139,1083 of 3146
"Antrim County, Michigan",26009,56165,1082 of 3146
"Flathead County, Montana",30029,56182,1081 of 3146
"Bennington County, Vermont",50003,56183,1080 of 3146
"Cumberland County, Illinois",17035,56206,1079 of 3146
"Catoosa County, Georgia",13047,56235,1078 of 3146
"Rock County, Nebraska",31149,56250,1077 of 3146
"Franklin County, Virginia",51067,56254,1076 of 3146
"Franklin County, Kentucky",21073,56274,1075 of 3146
"Hampton City, Virginia",51650,56287,1074 of 3146
"Newton County, Georgia",13217,56316,1073 of 3146
"Trousdale County, Tennessee",47169,56321,1072 of 3146
"Ripley County, Indiana",18137,56332,1071 of 3146
"Hinsdale County, Colorado",8053,56339,1070 of 3146
"Lassen County, California",6035,56352,1069 of 3146
"Clinton County, New York",36019,56365,1068 of 3146
"Codington County, South Dakota",46029,56376,1067 of 3146
"Franklin County, Iowa",19069,56419,1066 of 3146
"DeKalb County, Indiana",18033,56421,1065 of 3146
"Marshall County, Iowa",19127,56437,1064 of 3146
"Wayne County, Nebraska",31179,56456,1063 of 3146
"Ness County, Kansas",20135,56492,1062 of 3146
"Keya Paha County, Nebraska",31103,56500,1061 of 3146
"Kalamazoo County, Michigan",26077,56511,1060 of 3146
"Sedgwick County, Kansas",20173,56524,1059 of 3146
"Clark County, Illinois",17023,56531,1057 of 3146
"Shawano County, Wisconsin",55115,56531,1057 of 3146
"Crow Wing County, Minnesota",27035,56549,1056 of 3146
"Cherokee County, Iowa",19035,56550,1055 of 3146
"San Patricio County, Texas",48409,56556,1054 of 3146
"Yates County, New York",36123,56563,1053 of 3146
"Gunnison County, Colorado",8051,56577,1052 of 3146
"Franklin County, Kansas",20059,56582,1051 of 3146
"Jefferson County, Kentucky",21111,56586,1050 of 3146
"Meade County, Kentucky",21163,56603,1049 of 3146
"Manitowoc County, Wisconsin",55071,56612,1048 of 3146
"Cherry County, Nebraska",31031,56651,1047 of 3146
"Blount County, Tennessee",47009,56667,1046 of 3146
"Louisa County, Iowa",19115,56673,1045 of 3146
"Adams County, North Dakota",38001,56681,1044 of 3146
"Effingham County, Illinois",17049,56685,1043 of 3146
"Blaine County, Idaho",16013,56694,1042 of 3146
"Hubbard County, Minnesota",27057,56709,1041 of 3146
"Douglas County, Illinois",17041,56714,1040 of 3146
"Fremont County, Iowa",19071,56750,1039 of 3146
"Logan County, Ohio",39091,56754,1038 of 3146
"Story County, Iowa",19169,56756,1037 of 3146
