State,FIPS,Value (Dollars),Rank within US
"Nicholas County, Kentucky",21181,38149,2829 of 3146
"Jones County, North Carolina",37103,38158,2828 of 3146
"Otero County, Colorado",8089,38169,2827 of 3146
"Covington County, Mississippi",28031,38178,2826 of 3146
"Summers County, West Virginia",54089,38187,2825 of 3146
"Stone County, Arkansas",5137,38188,2824 of 3146
"Fairfield County, South Carolina",45039,38213,2823 of 3146
"Rowan County, Kentucky",21205,38230,2822 of 3146
"Brooks County, Georgia",13027,38285,2821 of 3146
"Panola County, Mississippi",28107,38304,2820 of 3146
"Taos County, New Mexico",35055,38329,2819 of 3146
"Winn Parish, Louisiana",22127,38353,2818 of 3146
"Howell County, Missouri",29091,38357,2817 of 3146
"Lamar County, Alabama",1075,38364,2816 of 3146
"Calhoun County, West Virginia",54013,38382,2815 of 3146
"Russell County, Kentucky",21207,38390,2814 of 3146
"Hart County, Kentucky",21099,38396,2813 of 3146
"Okfuskee County, Oklahoma",40107,38411,2812 of 3146
"Darlington County, South Carolina",45031,38448,2811 of 3146
"Barbour County, West Virginia",54001,38459,2810 of 3146
"Monroe County, Arkansas",5095,38468,2809 of 3146
"Van Buren County, Arkansas",5141,38499,2808 of 3146
"West Carroll Parish, Louisiana",22123,38500,2807 of 3146
"Johnson County, Arkansas",5071,38511,2806 of 3146
"Monroe County, West Virginia",54063,38540,2805 of 3146
"Talbot County, Georgia",13263,38549,2804 of 3146
"Avoyelles Parish, Louisiana",22009,38565,2803 of 3146
"Calhoun County, Florida",12013,38568,2802 of 3146
"Hamilton County, Florida",12047,38569,2801 of 3146
"Saguache County, Colorado",8109,38571,2800 of 3146
"Grayson County, Kentucky",21085,38612,2799 of 3146
"Clarke County, Georgia",13059,38623,2798 of 3146
"Elbert County, Georgia",13105,38678,2797 of 3146
"New Madrid County, Missouri",29143,38679,2795 of 3146
"Petersburg City, Virginia",51730,38679,2795 of 3146
"Hardee County, Florida",12049,38682,2794 of 3146
"Abbeville County, South Carolina",45001,38741,2793 of 3146
"Elk County, Kansas",20049,38750,2792 of 3146
"Cameron County, Texas",48061,38758,2791 of 3146
"Gogebic County, Michigan",26053,38839,2790 of 3146
"Brantley County, Georgia",13025,38857,2789 of 3146
"Scott County, Tennessee",47151,38864,2788 of 3146
"St. Clair County, Missouri",29185,38870,2787 of 3146
"Wise County, Virginia",51195,38888,2786 of 3146
"Franklin County, Arkansas",5047,38923,2785 of 3146
"Sioux County, North Dakota",38085,38939,2784 of 3146
"Coosa County, Alabama",1037,38990,2783 of 3146
"Wilkinson County, Georgia",13319,38996,2782 of 3146
"Morgan County, Missouri",29141,39003,2781 of 3146
"Whitley County, Kentucky",21235,39005,2780 of 3146
"Hopewell City, Virginia",51670,39030,2779 of 3146
"Adams County, Ohio",39001,39079,2778 of 3146
"McIntosh County, Oklahoma",40091,39084,2777 of 3146
"Holmes County, Florida",12059,39102,2776 of 3146
"Collingsworth County, Texas",48087,39120,2774 of 3146
"Laurens County, Georgia",13175,39120,2774 of 3146
"Rio Grande County, Colorado",8105,39123,2773 of 3146
"Jackson Parish, Louisiana",22049,39139,2772 of 3146
"Red River County, Texas",48387,39142,2771 of 3146
"Niobrara County, Wyoming",56027,39150,2770 of 3146
"Madison County, Idaho",16065,39160,2769 of 3146
"McNairy County, Tennessee",47109,39161,2768 of 3146
"Tippah County, Mississippi",28139,39246,2767 of 3146
"Prentiss County, Mississippi",28117,39256,2766 of 3146
"Dodge County, Georgia",13091,39302,2765 of 3146
"Atoka County, Oklahoma",40005,39316,2764 of 3146
"Swain County, North Carolina",37173,39317,2763 of 3146
"Lemhi County, Idaho",16059,39324,2762 of 3146
"Menifee County, Kentucky",21165,39325,2761 of 3146
"Cedar County, Missouri",29039,39365,2759 of 3146
"Hughes County, Oklahoma",40063,39365,2759 of 3146
"Tunica County, Mississippi",28143,39370,2758 of 3146
"Seminole County, Oklahoma",40133,39373,2757 of 3146
"Shoshone County, Idaho",16079,39386,2756 of 3146
"Lenoir County, North Carolina",37107,39402,2755 of 3146
"Cibola County, New Mexico",35006,39413,2754 of 3146
"Echols County, Georgia",13101,39494,2753 of 3146
"Falls County, Texas",48145,39497,2752 of 3146
"Carter County, Missouri",29035,39530,2751 of 3146
"Pickett County, Tennessee",47137,39554,2750 of 3146
"Clare County, Michigan",26035,39565,2749 of 3146
"Graham County, North Carolina",37075,39571,2748 of 3146
"Dougherty County, Georgia",13095,39584,2747 of 3146
"Obion County, Tennessee",47131,39615,2746 of 3146
"Maverick County, Texas",48323,39625,2745 of 3146
"Woodson County, Kansas",20207,39643,2744 of 3146
"Wheatland County, Montana",30107,39655,2743 of 3146
"Hyde County, North Carolina",37095,39663,2742 of 3146
"Camas County, Idaho",16025,39688,2741 of 3146
"Forest County, Pennsylvania",42053,39717,2740 of 3146
"Lincoln County, Georgia",13181,39742,2739 of 3146
"Russell County, Virginia",51167,39758,2738 of 3146
"Swisher County, Texas",48437,39771,2737 of 3146
"Campbell County, Tennessee",47013,39803,2736 of 3146
"Scott County, Virginia",51169,39820,2735 of 3146
"Dixie County, Florida",12029,39828,2734 of 3146
"Greene County, North Carolina",37079,39837,2733 of 3146
"Forrest County, Mississippi",28035,39840,2731 of 3146
"Montgomery County, Mississippi",28097,39840,2731 of 3146
"Screven County, Georgia",13251,39842,2730 of 3146
"Pickens County, Alabama",1107,39848,2729 of 3146
"Fayette County, Alabama",1057,39856,2728 of 3146
"Jackson County, Florida",12063,39872,2726 of 3146
"Ottawa County, Oklahoma",40115,39872,2726 of 3146
"Jefferson County, Oklahoma",40067,39895,2725 of 3146
"Lauderdale County, Tennessee",47097,39896,2724 of 3146
"Lewis County, West Virginia",54041,39908,2723 of 3146
"Butler County, Missouri",29023,39915,2722 of 3146
"Weakley County, Tennessee",47183,39937,2721 of 3146
"Rio Arriba County, New Mexico",35039,39952,2720 of 3146
"Mississippi County, Arkansas",5093,39962,2719 of 3146
"Lawrence County, Arkansas",5075,39993,2718 of 3146
"Pulaski County, Kentucky",21199,39998,2717 of 3146
"Knox County, Missouri",29103,40000,2715 of 3146
"Throckmorton County, Texas",48447,40000,2715 of 3146
"Hidalgo County, Texas",48215,40014,2714 of 3146
"Cabell County, West Virginia",54011,40028,2713 of 3146
"Navajo County, Arizona",4017,40067,2712 of 3146
"Nicholas County, West Virginia",54067,40086,2711 of 3146
"Bronx County, New York",36005,40088,2710 of 3146
"Martin County, North Carolina",37117,40090,2709 of 3146
"Newton County, Texas",48351,40101,2708 of 3146
"Marion County, Kentucky",21155,40107,2707 of 3146
"Grenada County, Mississippi",28043,40122,2706 of 3146
"Catahoula Parish, Louisiana",22025,40129,2705 of 3146
"Lincoln County, Montana",30053,40140,2704 of 3146
"Crittenden County, Arkansas",5035,40161,2703 of 3146
"Appanoose County, Iowa",19007,40167,2702 of 3146
"Toombs County, Georgia",13279,40175,2701 of 3146
"Greenbrier County, West Virginia",54025,40200,2700 of 3146
"Anson County, North Carolina",37007,40213,2699 of 3146
"Franklin County, Mississippi",28037,40219,2698 of 3146
"Briscoe County, Texas",48045,40227,2697 of 3146
"Benton County, Missouri",29015,40249,2696 of 3146
"Chautauqua County, Kansas",20019,40298,2695 of 3146
"Appling County, Georgia",13001,40304,2693 of 3146
"Hardeman County, Tennessee",47069,40304,2693 of 3146
"Taylor County, Florida",12123,40306,2692 of 3146
"Haskell County, Texas",48207,40313,2691 of 3146
"Upshur County, West Virginia",54097,40322,2690 of 3146
"Reynolds County, Missouri",29179,40324,2689 of 3146
"Sabine Parish, Louisiana",22085,40336,2688 of 3146
"Avery County, North Carolina",37011,40340,2687 of 3146
"Sequoyah County, Oklahoma",40135,40351,2686 of 3146
"San Augustine County, Texas",48405,40353,2685 of 3146
"Ogemaw County, Michigan",26129,40373,2684 of 3146
"Dade County, Missouri",29057,40399,2683 of 3146
"Pike County, Arkansas",5109,40401,2682 of 3146
"Berrien County, Georgia",13019,40415,2681 of 3146
"Franklin City, Virginia",51620,40417,2680 of 3146
"DeKalb County, Alabama",1049,40440,2679 of 3146
"Oktibbeha County, Mississippi",28105,40453,2678 of 3146
"Alcona County, Michigan",26001,40484,2677 of 3146
"St. Mary Parish, Louisiana",22101,40485,2676 of 3146
"Henry County, Tennessee",47079,40502,2675 of 3146
"Grundy County, Tennessee",47061,40516,2674 of 3146
"Vance County, North Carolina",37181,40529,2673 of 3146
"Charlotte County, Virginia",51037,40573,2672 of 3146
"Covington City, Virginia",51580,40655,2671 of 3146
"Jewell County, Kansas",20089,40676,2670 of 3146
"Le Flore County, Oklahoma",40079,40677,2669 of 3146
"Hardin County, Tennessee",47071,40682,2668 of 3146
"Butler County, Alabama",1013,40688,2667 of 3146
"Jefferson County, Arkansas",5069,40726,2666 of 3146
"Tattnall County, Georgia",13267,40730,2665 of 3146
"Harney County, Oregon",41025,40735,2664 of 3146
"Baylor County, Texas",48023,40739,2662 of 3146
"Boone County, West Virginia",54005,40739,2662 of 3146
"Crosby County, Texas",48107,40759,2661 of 3146
"Edwards County, Texas",48137,40766,2660 of 3146
"Mercer County, West Virginia",54055,40784,2659 of 3146
"Hendry County, Florida",12051,40820,2658 of 3146
"Sanders County, Montana",30089,40823,2657 of 3146
"Clay County, Alabama",1027,40845,2656 of 3146
"Trinity County, California",6105,40846,2655 of 3146
"Coffee County, Georgia",13069,40859,2654 of 3146
"Custer County, Idaho",16037,40875,2653 of 3146
"Piscataquis County, Maine",23021,40890,2652 of 3146
"Clarendon County, South Carolina",45027,40900,2651 of 3146
"Athens County, Ohio",39009,40905,2650 of 3146
"Menominee County, Wisconsin",55078,40921,2648 of 3146
"Poinsett County, Arkansas",5111,40921,2648 of 3146
"Wheeler County, Oregon",41069,40926,2647 of 3146
"Smyth County, Virginia",51173,40932,2646 of 3146
"Coal County, Oklahoma",40029,40938,2645 of 3146
